step,S,A,E,I,Q,R,T
588,9,0,74,231,186,405,34
589,5,3,73,232,186,411,33
590,12,2,76,233,185,411,29
591,10,1,84,228,188,413,29
592,10,1,80,235,192,407,26
593,9,2,78,231,195,411,23
594,12,2,81,223,200,402,25
595,16,4,87,217,198,397,23
596,14,3,103,211,196,391,25
597,9,1,120,211,193,387,27
598,6,1,118,216,194,388,28
599,8,2,103,227,191,388,28
600,12,2,93,235,197,384,29
601,9,5,91,232,203,382,29
602,12,1,93,234,199,380,28
603,7,2,97,231,197,386,26
604,4,3,92,232,200,386,28
605,9,5,81,236,199,388,25
606,13,2,82,239,201,381,29
607,15,2,85,235,203,374,30
608,6,3,81,244,207,375,32
609,7,3,83,242,203,378,31
610,5,2,89,243,197,380,33
611,4,1,82,251,190,384,33
612,11,3,76,259,189,378,31
613,12,3,90,245,198,374,31
614,8,2,89,242,205,375,30
615,6,1,100,235,213,373,30
616,11,1,96,242,209,372,30
617,15,1,94,243,207,364,32
618,19,3,94,242,210,359,33
619,4,2,99,232,216,366,34
620,7,2,86,226,219,376,37
621,9,1,92,227,216,379,35
622,6,1,91,234,208,387,33
623,13,2,79,248,208,377,29
624,8,4,83,245,205,379,29
625,10,2,88,235,207,383,25
626,8,2,83,243,199,387,26
627,4,2,79,244,199,391,27
628,8,1,71,250,195,387,26
629,16,0,70,250,193,382,23
630,13,3,80,242,202,364,22
631,7,1,93,233,205,370,25
632,9,2,83,236,199,372,26
633,13,3,86,232,196,371,26
634,12,2,92,227,198,368,29
635,9,2,91,231,187,379,29
636,2,1,84,236,184,388,29
637,11,3,74,236,187,381,29
638,13,3,81,225,198,372,32
639,6,3,92,218,197,373,31
640,6,3,84,222,199,375,32
641,9,2,84,212,199,382,30
642,6,3,81,215,190,392,31
643,8,3,73,224,188,396,27
644,12,2,82,213,186,398,27
645,5,0,88,207,186,401,30
646,12,0,83,209,185,398,31
647,8,2,80,207,181,402,31
648,9,0,84,202,187,402,31
649,15,0,90,200,180,395,30
650,8,0,102,189,180,397,32
651,10,1,90,196,178,391,30
652,11,1,81,207,173,391,30
653,8,1,86,207,169,392,33
654,10,0,83,211,173,389,35
655,10,2,79,217,174,384,37
656,8,2,86,217,171,381,41
657,9,3,86,218,172,383,39
658,10,1,92,216,167,384,37
659,13,2,91,217,170,378,33
660,9,1,91,216,172,378,33
661,8,4,95,216,171,376,34
662,6,3,97,216,174,379,34
663,12,2,84,225,173,380,32
664,12,4,90,226,176,373,28
665,7,3,90,229,177,378,27
666,12,3,89,232,175,374,24
667,9,6,93,229,175,373,23
668,13,5,98,221,177,374,22
669,9,1,101,221,181,372,26
